Average Time;Global Size;LocalSize
2.17581e-05;21;16
2.40278e-05;22;16
2.10547e-05;23;16
2.0268e-05;24;16
2.30598e-05;25;16
2.12026e-05;26;16
2.25902e-05;27;16
2.20823e-05;28;16
2.30002e-05;29;16
2.51508e-05;30;16
2.33698e-05;31;16
2.1584e-05;32;16
2.16126e-05;33;16
2.2409e-05;34;16
2.22063e-05;35;16
2.40326e-05;36;16
2.3427e-05;37;16
2.14911e-05;38;16
2.26474e-05;39;16
2.19369e-05;40;16
2.24781e-05;41;16
2.17438e-05;42;16
2.26545e-05;43;16
2.15197e-05;44;16
2.24519e-05;45;16
2.10667e-05;46;16
2.13099e-05;47;16
2.09594e-05;48;16
2.17485e-05;49;16
1.21856e-05;50;16
2.41184e-05;51;16
2.11167e-05;52;16
2.17748e-05;53;16
2.22301e-05;54;16
2.24161e-05;55;16
2.20513e-05;56;16
2.18654e-05;57;16
2.2862e-05;58;16
2.22325e-05;59;16
2.16055e-05;60;16
2.32983e-05;61;16
2.22945e-05;62;16
2.09594e-05;63;16
2.27785e-05;64;16
2.21252e-05;1;17
2.1019e-05;2;17
2.16198e-05;3;17
2.20466e-05;4;17
2.04349e-05;5;17
2.2006e-05;6;17
2.18725e-05;7;17
2.22111e-05;8;17
2.17962e-05;9;17
2.22397e-05;10;17
2.07829e-05;11;17
2.18606e-05;12;17
2.24757e-05;13;17
2.14624e-05;14;17
2.25997e-05;15;17
2.25759e-05;16;17
2.17223e-05;17;17
2.21944e-05;18;17
2.15983e-05;19;17
2.26998e-05;20;17
2.18248e-05;21;17
2.16317e-05;22;17
2.13981e-05;23;17
2.20394e-05;24;17
2.19369e-05;25;17
2.141e-05;26;17
2.1143e-05;27;17
2.11573e-05;28;17
2.30193e-05;29;17
2.14148e-05;30;17
2.20633e-05;31;17
2.07162e-05;32;17
2.16508e-05;33;17
2.39062e-05;34;17
2.26331e-05;35;17
2.21419e-05;36;17
1.89924e-05;37;17
2.11692e-05;38;17
2.22039e-05;39;17
2.15268e-05;40;17
2.17295e-05;41;17
2.35462e-05;42;17
2.33531e-05;43;17
2.65455e-05;44;17
2.60162e-05;45;17
2.877e-05;46;17
2.41995e-05;47;17
2.19655e-05;48;17
2.14052e-05;49;17
2.16126e-05;50;17
